nome_organizacao,descricao_organizacao,segmento_atuacao,tecnologias_disruptivas
JASMMIN,"JASMMIN é a primeira startup brasileira de tecnologia voltada para a fabricação de produtos de baixo impacto ambiental, desenvolvidos pela incorporação de resíduos e rejeitos em novos materiais de construção.
 
 Nascemos no Centro Federal de Educação Tecnológica de Minas Gerais (CEFET-MG), fruto de uma parceria entre pesquisadores, Fundação CEFETMinas (FCM) e profissionais com ampla experiência no mercado. 
 
 Trabalhamos em parceria com diversos setores industriais, tais como a mineração, metalurgia, construção civil e agroindústria, valorizando seus resíduos e rejeitos na confecção de materiais álcali-ativados, também denominados geopolímeros, e produtos com baixos teores de cimento Portland.",Construção,
AGROPECUARIA SERTÃO LTDA,EMPRESA DO RAMO DO AGRONEGÓCIO COM FOCO NA PRODUÇÃO DE CAFÉS ESPECIAIS QUE GIRA EM TORNO DE 10% DO TOTAL DA PRODUÇÃO ATUAL QUE É DE 15.000 SCS ANO. FOCO DE QUALIDADE NO PROCESSO DE FERMENTAÇÃO PARA QUALIDADE. ,"Agronegócio, Alimentos e Bebidas",
Embtech Tecnologia Embarcada ,"Pesquisa, projeto, desenvolvimento e fabricação de soluções eletrônicas embarcadas compostas por placas eletrônicas, displays/IHMs, sensores e conectividade para controle e automação de máquinas, equipamentos e produtos.","Aeroespacial, Agronegócio, Alimentos, Automóveis, Cidades inteligentes, Construção, Educação, Energia, Entretenimento, Esporte, Indústria 4.0, Logística, Mineração, Mobilidade, Pets, Saúde, Segurança, Sustentabilidade, Tecnologia da informação","IOT (Internet das Coisas), IA"
LOTUS SOLUÇÕES AMBIENTAIS LTDA,"A Lotus Soluções Ambientais Ltda, atua desde 2003 com gerenciamento de resíduos e desenvolvimento de tecnologias para reutilização destes resíduos. Desde então, tem em seu histórico, vários produtos criados, retirando resíduos que antes geravam impactos ambientais, tendo sido transformados em matérias-primas, os quais são fornecidos para industrias da cadeia de cosméticos, adubo orgânico e alimentação animal. Além disso, já esteve em parceria com pesquisadores, encubada no CIAEM - Centro de Incubação de Atividades Empreendedoras, na UFU - Universidade Federal de Uberlândia, participando de desenvolvimento de tecnologias, tais como polímeros para tratamento de efluentes, aditivos de materiais cimentícios e plástico biodegradável, todos a partir de resíduos industriais também. Participou de APL de Biotecnologia, tendo importante apoio para avanços na sua gestão administrativa e de inovação. E segue nesta jornada de desenvolvimento, buscando melhoria contínua, com foco em inovação e contribuição, tendo como slogan: sermos ""Parceiros de um Planeta""",Gestão de resíduos,Nenhuma
Amplos,"O objetivo da Amplos é democratizar o atendimento de profissionais da saúde, psicologia e bem-estar, nós fazemos isso ajudando com que os espaços de atendimento sejam compartilhados através de nosso sistema onde auxiliamos do início ao fim do processo, tanto na busca e reserva quanto gerenciamento.

A Amplos já participou de pré-incubação no CRITT- UFJF, pré-aceleração no Lemonade, aceleração no InovAtiva. Estamos na última fase do Centelha. Já começamos a ganhar dinheiro e recebemos o aporte de um investidor local.",Imóveis,Nenhuma
Grato Consulting and Education Ltda,"Empresa de Pesquisa e Desenvolvimento para desenvolvimento de novos produtos, especialmente aplicações tecnológicas para agricultura.",Agronegócio,Automação
ENCORE - Gestão de Dados em Saúde,"Software utilizado em PC, celular ou tablet; destinado ao registro e armazenamento de dados nas visitas domiciliares dos Agentes comunitários de saúde, e Auxílio de Gestão pela análise do Banco de dados, Dashboard e Monitoramento territorial. Tais dados coletados serão migrados automaticamente a plataforma e-sus do Ministério da Saúde.","Saúde, Tecnologia da informação",Big Data
PlugThink Técnologia da Informação ltda.,"Oferecemos soluções para indústria e pontos de venda aumentarem suas vendas. Nossa missão é simplificar e acelerar o crescimento das vendas por impulso através do whatsapp seja no canal B2B ou B2C.

Temos uma solução Chamada Boomerangue Pedido Express, que é um canal de vendas digital que envia sugestões de vendas de pedidos com produtos personalizados de acordo com o perfil do PDV. É uma solução complementar à força de vendas, aumentando o poder de seus vendedores.

Além do Boomerangue, também oferecemos soluções complementares a ferramenta aos nossos clientes. Eles contam com soluções para cada uma das etapas de maturidade do projeto, desde a concepção até a geração de caixa. Nós buscamos sempre oferecer soluções que gerem resultados e autonomia a nossos clientes.

Acreditamos que ideias espetaculares geram resultados espetaculares em todas as dimensões e estamos comprometidos com está visão.

Atualmente nosso principal case é a Nestlé Brasil.","Alimentos, Educação, Esporte, Moda, Varejo, Vendas","Big Data, Deep Learning, Machine Learning"
Safe Trace Sistemas de Rastreabilidade S.A.,"Desenvolvimento de estratégias, ferramentas e sistemas para rastreabilidade de alimentos","Agronegócio, Gestão de riscos, Sustentabilidade, Tecnologia da informação","Big Data, Blockchain, IOT (Internet das Coisas)"
NEORA - SOLUÇÃO DE APOIO A APS,Fornecer um sistema SAAS para apoio à operação da APS (atenção primaria à saúde) no Brasil.,Saúde,Nenhuma
Phast - Physiotherapy Assessment Tool,"A Phast é a primeira empresa do mercado a criar um algoritmo capaz de identificar o risco de lesões em atletas. Por meio de uma plataforma tecnológica, entrega educação continuada e relatórios automatizados de perfil de risco, orientando a conduta dos fisioterapeutas. Dessa forma, aumenta-se a produtividade deste profissional e auxilia clubes e atletas a reduzir custos, prevenindo lesões, melhorando performance e evitando afastamento das atividades. Já fomos acelerados pelo Inovativa Brasil e recebemos investimento e mentoria do Biotechtown","Educação, Saúde, Esporte",Nenhuma
Appia,"A Appia é uma empresa especialista em utilizar a Inteligência Artificial como um meio de acelerar e potencializar os processos das empresas.

Nascemos da inquietude da busca de uma transformação digital efetiva. Com experiência de mais de 20 anos em estratégia de tecnologia, voltamos todos nossos esforços para desenvolver uma metodologia que auxilie as empresas a se transformarem internamente e criarem um diferencial competitivo para todo o mercado e, muitas vezes, criando novos negócios, por meio da cocriação.

Temos uma equipe multidisciplinar, com ampla experiência no mercado corporativo, capacitada para apoiar empresas dos mais diversos portes e áreas de atuação.

Nossos profissionais são devidamente qualificados e certificados por diversos fabricantes e instituições das áreas de Ciência de Dados e Inteligência Artificial, atuando devidamente suportados e respaldados pelas melhores práticas de gerenciamento e gestão.

Nesses anos de existência, criamos várias soluções utilizando IA, voltadas para compras, estoque e até estádios de futebol.","Alimentos, Gestão de negócios, Indústria 4.0, Mineração, Tecnologia da informação, Varejo, Vendas","Big Data, Deep Learning, Machine Learning"
9 walls Security,Startup que oferece uma plataforma para gestão de segurança privada.,Agronegócio,Nenhuma
Nuresp,Promovemos o engajamento entre fisioterapeutas e pacientes que necessitam de fisioterapia respiratória através de solução de treinamento inspiratório (TMI) com acompanhamento remoto do fisioterapeuta via plataforma web.,Saúde,IOT (Internet das Coisas)
Thronus Group LTDA,"Somos uma biofarmacêutica canadense, líder mundial na produção e desenvolvimento de produtos inovadores de cannabis medicinal. A Thronus nasceu a partir dos estudos de sua fundadora Dra Mariana Maciel, médica brasileira residente no Canadá, e seus questionamentos em relação à baixa biodisponibilidade de óleos canabinóides. Juntamente com uma equipe especializada internacional desenvolveram pesquisas e aplicações que deram origem a uma NOVA e MAIS EFICIENTE categoria de produtos: BISALIV.

Estamos presentes nos EUA, Europa e América Latina, como também em centros de pesquisas. No Brasil, pacientes adquirem nossos produtos em conformidade com as normativas da Anvisa.
Nossa equipe de médicos, farmacêuticos e profissionais experientes na indústria farmacêutica compreendem a real necessidade de médicos e pacientes para garantir que a segurança seja preservada.

Nossa equipe adicional altamente qualificada assegura que o cultivo e o processamento obedeçam às boas práticas de fabricação para a produção de produtos farmacêuticos de altíssima qualidade que são certificados por laboratórios acreditados.

No Brasil, a Thronus é PIONEIRA e LÍDER no fornecimento de sistemas inovadores de administração de canabinóides capazes de otimizar o tratamento com dosagens menores e resultados superiores.",Saúde,Nanotecnologia
Integra IoT,"A Integra IoT é uma empresa especialista em Internet das Coisas (IoT).
Oferecemos uma ampla gama de serviços, desde a consultoria e planejamento até a implementação e gestão de projetos de IoT.
Nosso objetivo é ajudar as empresas a aproveitarem o poder da IoT para melhorar sua eficiência, produtividade e competitividade.
Estamos prontos para te ajudar a entrar na era da conectividade inteligente.","Agronegócio, Cidades inteligentes, Energia, Gestão de negócios, Gestão de resíduos, Gestão de riscos, Governo, Indústria 4.0, Logística, Mineração, Mobilidade, Segurança, Sustentabilidade, Tecnologia da informação, Varejo, Vendas",IOT (Internet das Coisas)
Esporte Sistemas,Desenvolvimento e comercialização de aplicativos para a área de saúde e fitness. O principal aplicativo é o Avaesporte.,"Educação, Gestão de negócios, Saúde",Nenhuma
Ctrl Saúde,Plataforma de compras inteligente para clínicas e consultórios médicos,Saúde,Chatbot e OCR
Ponto Sustentável,"Nosso objetivo é conectar quem quer fazer um descarte a uma pessoa ou instituição recebedora, para isso criamos o aplicativo Ponto Sustentável que já está disponível na Play store.","Cidades inteligentes, Gestão de resíduos, Reciclagem, Sustentabilidade",IOT (Internet das Coisas)
Birthtech Dispositivos para a Saude Ltda,"A Birthtech oferece soluções disruptivas que ajudam os recém-nascidos a sobreviverem aos seus primeiros dias de vida. Através de tecnologias não invasivas, portáteis e de baixo custo, auxilia o profissional de saúde na tomada de decisões críticas para melhorar os cuidados neonatais e diminuir a mortalidade infantil.",Saúde,optoeletronica
Reuso Recicla+,"Nosso modelo de negócio é B2B 
Disponibilizamos soluções eficazes que ajudam você, a sua empresa e os seus clientes a superar os desafios do consumo sustentável de forma prática e econômica. 
Nossa eficiente estrutura de gerenciamento de resíduos compreende desde a orientação para melhor utilização dos recursos disponíveis, até a captação, separação e destinação adequada dos mais variados tipos de resíduos. Nós também educamos sobre o descarte correto, sinalizamos de maneira clara as lixeiras, docas e contêineres e, por fim, certificamos toda a operação, entregando dashboards e relatórios acessíveis e interativos que comprovam os impactos positivos atrelados ao nosso serviço. Para empresas, desenvolvemos projetos específicos às necessidades e metas estabelecidas em temas de sustentabilidade como Compensação ambiental, Valorização de Resíduos, Coleta Seletiva, Selos de Sustentabilidade, Logística Reversa e Economia Circular
Oferecemos uma alternativa responsável e sustentável a praticas de gestão de resíduos. Nossa soluções garante o manuseio ideal de resíduos reduzindo o impacto ambiental, maximizando eficiência e gerando renda para famílias de catadores. Nestes 12 meses de REUSO, geramos impactos significativos na cidade. Implementamos nossa metodologia em mais 50 pontos de coleta, engajamos e treinamos em torno de 3500 pessoas etc. Somos uma startups que leva os pilares ambiental, social e de governança para dentro das empresas  a realizarem a melhor gestão e coleta seletiva com impacto socioambiental.  Em relação ao time, são pessoas com mais de 15 anos de experiencia em operações de gestão de resíduos
","Cidades inteligentes, Gestão de resíduos, Negócios sociais, Reciclagem, Sustentabilidade",Nenhuma
Global Braim ,"Empresa especializada para a prestação de serviços em tecnologia na 
área de saúde, voltada para soluções integradoras de inteligência artificial em: Telemedicina, 
Gestão, Rastreabilidade e controle, todos vinculados ao serviço de TFD - Tratamento Fora de 
Domicílio, e Envio do faturamento ao SIA/SUS. 
SERVIÇOS: 
a) Controle de faturamento de custos do serviço de TFD - Tratamento Fora de Domicílio; 
b) Sistema de Gestão TFD da GLOBAL BRAIN foi desenvolvido para otimizar, monitorar e 
armazenar os dados dos pacientes dentro das secretarias de saúde. 
c) A automação da plataforma permite mais organização e segurança, além de proporcionar 
atendimento rápido e adequado para cada caso. 
d) Todas as viagens são cadastradas na plataforma onde são escolhidos o veículo, o 
motorista, o horário e o local de embarque. Toda a informação é enviada ao paciente por 
WhatsApp, SMS, ou ligação telefônica robotizada. 
e) O gestor de saúde terá rastreabilidade de sua frota em tempo real de qualquer lugar com 
acesso à internet, através de Dashboard, por meio de informações e controle do custo 
médio de combustível/mês, quilômetros rodados, número de pacientes transportados e 
quantidade de diárias gastas por motorista. (Esses dados podem ser consultados de 
forma diária ou mensal.) 
f) Por meio do Sistema de Gestão TFD da GLOBAL BRAIN, será promovido: a Diminuição 
de Mão de Obra, Relatórios Gerenciais e Financeiros, e Comodidade do Usuário.
g) Envio do faturamento ao SIA/SUS",Saúde,Nenhuma
CAFEIN,"Somos uma plataforma para conectar produtores e beneficiadores de cafés especiais a consumidores. Em nosso aplicativo, os clientes poderão comprar seus cafés especiais diretamente dos produtores e receber em sua casa, gerando mais valor para ambos os lados.","Agronegócio, Tecnologia da informação",Big Data
IN8,"A IN8 é uma holding de tecnologia que atua em várias áreas. Possuímos uma Software House, um app de controle de ponto, uma sistema de milhas aéreas, um produto de saúde mental e uma agência de marketing digital. A IN8 preza sempre pelo foco em inovação, no bem estar dos funcionários, na qualidade e no tempo de entrega.","Gestão de negócios, Publicidade, Saúde, Tecnologia da informação, Turismo","Big Data, Machine Learning"
Farmacart,"Somos uma plataforma agregadora de informação de produtos de saúde e bem-estar, que permite as pessoas pesquisar, comparar, comprar e receber produtos farmacêuticos com base em critérios pessoais, incluindo preço, localização e disponibilidade. Além disso, promovemos uma comunidade de usuários que compartilham experiências, recursos e feedbacks sobre produtos, vivências pessoais, incentivando o autocuidado e a conscientização sobre a saúde através deste ecossistema transparente e competitivo.","Saúde, Vendas","Big Data, Deep Learning, Machine Learning, LLMs e Search Engines"
IAS Soluções Tecnológicas,Soluções em Automação Industrial / Montagem de Painéis Elétricos,"Agronegócio, Construção, Energia, Entretenimento, Finanças, Alimentos, Gestão de negócios, Indústria 4.0, Cidades inteligentes",Automação Industrial
Direto de Minas Marketplace,"Direto de Minas é uma plataforma de marketplace. Um Hub de negócios, marketing e fomento a cultura do Estado de Minas Gerais.","Alimentos, Indústria 4.0",marketplace
IDGeo,A IDGeo oferece soluções de gestão agrícola para aumentar a eficiência e lucratividade da sua lavoura.,Agronegócio,
Nexti Soluções Inteligentes,A Nexti é HUB de Soluções Inovadoras de Inteligência que une a Tecnologia de Dados e Estratégia aplicada ao negócio de cada cliente para gerar maiores ganhos e reduzir riscos. Atuamos em todos os seguimentos de mercado.,"Publicidade, Agronegócio, Gestão de negócios, Indústria 4.0, Direito, Regulamentação e compliance","Big Data, Machine Learning, Realidade aumentada"
Cling Gestão,"Consultoria em tecnologia da informação, assessoria em software, programas de informática, atualmente com uma plataforma (Portal do Cliente) em expansão e alguns clientes testes 
","Agronegócio, Automóveis, Finanças, Mobilidade, Tecnologia da informação",Machine Learning
Campotech,"A organização tem por objetivo a fabricação de soluções em automação para o agronegócio, especificamente no pós colheita. Os resultados são, redução de gases nocivos ao meio ambiente, otimização no tempo de trabalho, preservação e valorização da qualidade do produto que está sendo processado e elevação no padrão de secagem. As ferramentas digitais também possibilitam uma gestão com eficiência e acompanhamento e análise de resultados.","Agronegócio, Indústria 4.0","IOT (Internet das Coisas), Machine Learning"
72up,"Ajudamos o empreendedor tradicional a se conectar com soluções inovadoras de mercado. A 72Up aplica uma metodologia de diagnóstico buscando identificar as principais oportunidades de aumentos de receitas, otimização de processos e redução de custos nas 5 principais áreas da empresa, comercial, operação, administrativo, financeiro e pessoas. Através desse diagnóstico, buscamos por afinidade quais são as ferramentas e serviços estratégicos para o momento da empresa.","Gestão de negócios, Tecnologia da informação",Nenhuma
Banho Baby,"A Banho Baby proporciona aquecimento da água para banho infantil de maneira segura, prática, com exatidão na temperatura. Proporcionando economia de água e energia, além de evitar acidentes no manuseio da água e no banho do bebê.",Saúde,
Locusprime,Somos uma healthtech focada em ajudar o profissional de saúde a empreender com segurança e facilidade,"Saúde, Direito",Nenhuma
Salude Tecnologias,"Salude Tecnologias é uma industria de dispositivos eletrônicos para área da saúde e bem estar focada principalmente em desenvolver inovação por meio de tecnologias e utilizando de conceitos inteligentes para propor um preço acessível com qualidade.
Nosso primeiro produto lançado foi o uaiKeto um dispositivo capaz de auxiliar pessoas a descobrirem como seu metabolismo se comporta em uma dieta baixa em carboidratos. Obtivemos um ótimo resultado de vendas nos primeiros 6 meses, 185 peças vendidas.
Estamos lançando um segundo dispositivo que será aplicado em academias, uma forma de trazer tecnologia as academias hoje com aparelhagem pouco tecnológica.
Temos também mais 2 projetos abertos para se tornarem produtos ainda em 2020.","Saúde, Esporte",Nenhuma
MOOV,"O Moov traz o ideal da mobilidade como um serviço, sendo personalizado e customizado de acordo com a demanda do cliente. Consiste em uma plataforma de serviços com soluções para a mobilidade sustentável garantindo segurança e eficácia no transporte para que o cliente possa focar no core do seu negócio. Surgindo de dentro do Grupo CSC, empresa de mais de 40 anos de mercado de transporte e logística, o Moov une soluções tecnológicas com inteligência artificial para atender a dores atuais das empresas de transporte, seja no setor privado ou público. No atual momento, o Moov já está atuando e faturando no mercado através de projetos piloto, oferecendo solução de gestão de transporte sob demanda com compartilhamento e rotas seguras, solução de análises preventivas de manutenção e controle da segurança da frota, solução de treinamento, capacitação e desenvolvimento de funcionários (mecânicos, motoristas, sala de controle e demais áreas) com uso de gamificação, provas e certificações internas, e mais soluções para mercado.
Com o poder de parcerias e know-how do Grupo CSC e a inovação do Moov, foi possível validar propostas de valor dessa ideia e conseguir entregar valor ao cliente antes mesmo de ter toda a estrutura pronta. O projeto final do Moov é oferecer, através de um único software, um mix de soluções que são flexíveis (fáceis de configurar e desconfigurar) que o próprio cliente escolhe de acordo com sua necessidade. Facilidade para implantar e melhorias de forma rápida são pontos importantes do Moov.","Automóveis, Cidades inteligentes, Logística, Mobilidade, Segurança, Sustentabilidade","IOT (Internet das Coisas), Machine Learning"
NUTRIMULTI CERRADO IND. E COM. DE ALIMENTOS LTDA,"A NutriMulti é uma empresa que nasceu com um propósito bem estabelecido:
possibilitar o acesso a alimentos de alta qualidade para pessoas que buscam uma
complementação alimentar com elevado valor nutritivo. Até o momento cumprimos o nosso propósito.",Alimentos,Nenhuma
