nome_organizacao,M1_Agro,M2_Saude,M3_Infra_Mobilidade,M4_Transformacao_Digital,M5_Bioeconomia_Energia,M6_Defesa_Soberania,descricao_organizacao,segmento_atuacao,tecnologias_disruptivas,fase_negocio
BELL ANJOS INDÚSTRIA COMÉRCIO E REPRESENTAÇÃO DE MÁQUINAS E EQUIPAMENTOS INDUSTRIAIS,1,0,0,1,0,0,"Voltada para o desenvolvimento de instrumentação, equipamentos, para o setor de alimentos, visando monitoramento em tempo real de propriedades dos alimentos, nos diferentes estágios da cadeia. O objetivo é auxiliar nas tomadas de decisão.","Agronegócio, Alimentos, Tecnologia da informação","Blockchain, Impressão 3D, IOT (Internet das Coisas), Machine Learning, Nanotecnologia","Operação (Fase em que a EBT atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)"
CEPHA Biotech,1,1,0,0,0,0,"A CEPHA Biotech desenvolve testes de diagnóstico customizados, voltados para a detecção precisa de agentes patogênicos","Agronegócio, Alimentos, Ciências biológicas, Indústria 4.0, Saúde, Segurança","Impressão 3D, IOT (Internet das Coisas), Nanotecnologia",Fora de operação (startup fora de atividade)
LinkSaúde,0,1,0,0,0,0,"LinkSaúde é um sistema online que torna a rotina no consultório e no hospital cada vez mais fácil. Desenvolvido no Brasil, gerencia e integra informações clínicas essenciais com total segurança e máxima praticidade. Sua interface é intuitiva e capaz de ser adaptada às necessidades de cada profissional. Oferece suporte diferenciado e sempre presente para garantir mais tranquilidade no trabalho e mais tempo fora dele.",Saúde,,
NanoPack - Tecnologia em Embalagens,1,0,0,0,1,0,"O produto consiste em nanoestruturas incorporadas à um biopolímero
com atividade antimicrobiana, resistência a impacto mecânico e
propriedade de barreira a gases e umidade. Pode ser apresentado em
forma de revestimento, bem como, em forma de filme plástico, ou seja,
embalagem plástica pré-fabricada. Na forma de revestimento, foco
principal da NanoPack, é aplicado no pós colheita formando uma fina
película protetora sobre a fruta, e na forma de filme, pode ser
empregado no período pré ou pós-colheita.
A tecnologia é capaz de aumentar em até 200% a vida útil da
fruta,mantendo as características do alimento in natura estáveis por
mais tempo, com maior qualidade seja para venda ou armazenamento,
possibilitando uma melhor distribuição desses alimentos e reduzindo as
taxas de perdas e desperdício, além de alavancar a exportação, pois
será permitido o uso de transportes terrestres ou marítimos ao invés de
transportes aéreos, refletindo, portanto, em fidelização de clientes e
aumento de faturamento pelo nosso cliente. Ademais contribuímos para
a redução do impacto ambiental causado pelas outras embalagens não
biodegradáveis, agregando valor ao produto e unimos em um único
produto diversas funcionalidades não ofertadas por qualquer outra
embalagem atualmente disponível no mercado, com custo aproximado
ao das embalagens já utilizadas. Trata-se de uma tecnologia
sustentável, com baixo custo de produção, menor impacto ambiental e
alta disponibilidade de matéria prima.",Alimentos,Nanotecnologia,"Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)"
Curtida.Social,0,0,0,1,0,0,"A Curtida.Social visa conectar empresas interessadas em apoiar causas sociais e pessoas realizadoras do bem!
O funcionamento é bem simples. Qualquer pessoa pode propor uma ação social, basta preparar um material de divulgação contando sobre o seu projeto. Então, o(a) realizador(a) submete esse material na nossa plataforma, e assim pode receber o apoio das empresas que têm acesso à plataforma.",Publicidade,,
Aiko Logic,0,0,0,1,0,0,"Gestão da frota para diferentes segmentos da indústria, com controle de produtividade dos operadores em diversos tipos de equipamentos.",Logística,,3. Tração
Onegreen,0,0,0,1,1,0,"O Onegreen é um software desenvolvido especificamente para a gestão de todo o processo de licenciamento ambiental.

O software Onegreen monitora todas as informações relativas ao licenciamento ambiental e mantém registros atualizados de cada etapa do processo. Deste modo, estudos ambientais, contratos, formulários, ofícios, projetos, documentos recebidos, condicionantes e outros compromissos assumidos para cada empreendimento podem ser prontamente verificados pelos gestores.","Gestão de negócios, Tecnologia da informação",Nenhuma,"Escala (Nesta fase a startup possui taxas de crescimento elevadas, já possui processos mais estruturados e busca se expandir para novas praças, como públicos, localidades, segmentos, etc)"
Arko Industria e Comercio de Mineração e fertilizantes,1,0,0,0,0,0,"Uma empresa jovem, fundada em 2019 com muita fome de
nutrir a terra com o que há de melhor e mais rentável para os
produtores rurais. Somos formados por um time de
profissionais eficientes e focados na solução para o cliente.
Para isso, inovamos no desenvolvimento de tecnologias que
resultam em produtos de aplicação simplificada, máxima
produtividade e mínimo impacto ambiental, com custos
alinhados ao mercado.",Agronegócio,,
SmarttBot,0,0,0,1,0,0,"Plataforma de automatização de investimentos na Bolsa de Valores do Brasil para pessoas físicas. Com um ambiente online 100% em nuvem e um modelo SAAS B2C, empoderamos o pequeno investidor viabilizando bons rendimentos e muito aprendizado a partir da operacionalização de suas estratégias de investimento em mudo simulado ou real, em parceria com as principais corretoras de valores do Brasil.",Finanças,"Big Data, Deep Learning, Machine Learning","Escala (Nesta fase a startup possui taxas de crescimento elevadas, já possui processos mais estruturados e busca se expandir para novas praças, como públicos, localidades, segmentos, etc)"
Cailís Educação Musical,0,0,0,1,0,0,"Nascida do sonho de levar a música para a casa de todas as pessoas, a Cailís foi fundada para realizar este objetivo, prestigiando as pessoas através da valorização da vivência musical.",Educação,,
G&M Soluções,0,0,0,0,1,0,"Atuando em vários seguimentos como Engenharia e projetos, Instalações elétricas Industriais e prediais, automação, Painéis e Quadros Elétricos, Energia Solar e Cabeamento de Redes estruturadas a GM Soluções Elétricas torna-se a melhor e mais completa solução para obras industriais e prediais.",Energia,,
Belgo Bekaert Arames,1,0,1,0,1,0,Industria fabricante de arames em busca de transformação dos seus negócios,"Agronegócio, Alimentos e Bebidas, Construção Civil ou Setor Imobiliário, Energia ou Sucroalcooleiro, Mineração e Metalurgia, Papel e Celulose, Transporte e Automotivo",,
COOPERATIVA DOS GRANJEIROS DO OESTE DE MINAS LTDA,1,0,0,0,0,0,"A sociedade unindo os granjeiros, assim considerados os produtores de aves de
corte, ovos, pintinhos, suínos, outros pequenos animais, bovinos e peixes, estabelecidos
em sua área de ação, tem por finalidade:
a) receber, pesar, classificar, armazenar, beneficiar, industrializar, comercializar,
transportar em veículos próprios ou de terceiros a produção entregue pelos associados;
b) fabricar, adquirir e distribuir ração, premix, suplementos vitamínicos e minerais,
medicamentos e outros insumos necessários à exploração das atividades dos associados;
c) produzir e distribuir, em terras próprias ou arrendadas, grãos para a fabricação ou
suplementação de rações;
d) produzir, industrializar e comercializar frangos, ovos, suínos, pintinhos, outros
pequenos animais, bovinos e peixes com capital próprio, instalações próprias arrendadas ou através de integração ou parceria com associados;
e) promover a importação de insumos e a exportação de aves e produtos;
f) promover a defesa comum dos seus interesses econômico sociais observando, para
isso, o programa de ação a ser executado de acordo com as prioridades estabelecidas
pelo Conselho de Administração, vinculadas às possibilidades técnicas e financeiras;
§ 1º - A sociedade poderá adquirir produtos de não associados para venda a terceiros
com o objetivo de completar lotes destinados a cumprimento de contratos ou para suprir
capacidades ociosas de suas instalações operacionais, bem como, poderá fornecer bens e
serviços a não associados, desde que tal faculdade atenda aos objetivos sociais
observadas, em qualquer caso, as normas legais e regulamentares atinentes.
§ 2º - Todas as operações e serviços da sociedade serão realizados de modo a afastar os
riscos de especulação, sem qualquer fito de lucro, respeitadas, em caso de filiação, as
obrigações por ela assumidas como associada de Cooperativas Centrais.","Agronegócio, Alimentos e Bebidas",,
CINKO Engenharia e Arquitetura,0,0,1,0,0,0,"Garantir a excelência na entrega de produtos e serviços de engenharia e arquitetura para a sociedade, transformando os ambientes e espaços em um cenário que propicia o desenvolvimento de maneira sustentável e inclusiva.",Construção,,
Hop Digital,0,0,0,1,0,0,A Hop é uma empresa focada em inovação e usa as diretrizes do Design Thinking para entregar aplicativos e softwares cognitivos.,Tecnologia da informação,,
VMIS,0,1,0,0,0,1,"Com início de atividades no Brasil desde 1985, o Grupo VMI, genuinamente brasileiro, desenvolve tecnologias para geração de imagens, através de raios X. O grupo VMI iniciou com desenvolvimentos de equipamentos para diagnóstico por imagem utilizando raios X para área médica e posteriormente ampliou sua área de atuação utilizando a tecnologia obtida através de pesquisas e desenvolvimento criando a área de segurança. O grupo VMI, foi uma das primeiras empresas no Brasil a fabricar inteiramente equipamentos de diagnóstico por imagem e a única empresa da américa latina a fabricar e desenvolver software para equipamentos de raios X para inspeções de volumes e veículos. Em 1989, foi criado um projeto, até então inédito no Brasil, o qual contou com o respaldo do amplo domínio tecnológico, detido pelo Grupo VMI, na geração de imagens através de raios X. Neste contexto, a VMI desenvolveu o primeiro scanner de bagagens, Espectro 150, totalmente projetado e fabricado no Brasil, em parceria com Infraero, a qual forneceu importantes informações a respeito das necessidades e expectativas do mercado brasileiro quanto a utilização destes equipamentos. Assim, no período de testes, este projeto foi amplamente divulgado em mídia nacional, consagrando, dessa forma, a sua importância e pioneirismo. Devido ao grande desenvolvimento da área de segurança e o espirito inovador do grupo, em 2002 foi criada a VMI Sistemas de Segurança, a qual estabeleceu alianças com grandes empresas internacionais, proporcionando assim um portfólio completo de produtos de segurança. A partir de então foram desenvolvidas várias inovações nos produtos. Dentre elas podemos citar: A integração entre o equipamento de inspeção corporal (Bodyscan) e balança de bioimpedância. O Bodyscan possui três técnicas pré-configuradas para inspeção do indivíduo e fica a cargo do operador escolher uma delas no momento da inspeção. Essa escolha é feita de acordo com o biotipo da pessoa que será inspecionada, porém essa decisão cabia a um ser humano que poderia não escolher a técnica adequada. Após essa integração o com a balança de bioimpedância, o indivíduo
que será inspecionado sobe na mesma e tem seu peso, porcentagem de massa muscular, massa óssea e porcentagem de água do corpo capturados pelo software. Esse por, por sua vez, escolhe a técnica ideal para cada pessoa baseado em dados, evitando que uma pessoa seja exposta a uma técnica incompatível com seu biotipo. A VMI é a única empresa no mundo que possui essa funcionalidade. Outra inovação que pode ser citada é o desenvolvimento do próprio detector de raios X, produto que exigiu uma vasta pesquisa no início do projeto para entender, profundamente, seu princípio de funcionamento. Para esse desenvolvimento foi preciso aprender novas técnicas de projetos eletrônicos, ja´ que o circuito integrado a ser utilizado possuía vários sinais exigindo o desenvolvimento de uma placa com de PCB com seis camadas. Além disso, foi necessário aprender uma nova tecnologia de programação (VHDL) para poder desenvolver o firmware desse componente que utiliza uma FPGA, uma linguagem de baixo nível e pouco difundida. Atualmente está em desenvolvimento do software de inteligência artificial através da rede neural convolucional,
em parceria com ICT, para equipamentos de raios X de inspeção de volumes e pessoas para
identificação automática de objetos ilícitos. Este projeto está´ em fase de testes de eficácia de reconhecimento e ampliação do banco de imagens para aprimoramento do treinamento. A VMI e pioneira e única no Brasil, no desenvolvimento e fabricação nacional de equipamentos raios-x de alta energia para inspeção de caminhões e contêineres com potência de 6MeV, 300 mm de penetração em aço e discriminação de materiais através de dupla energia, no mundo existem somente 5 empresas com essa capacidade.
Recentemente a VMI Sistemas de Segurança desenvolveu em parceira com a FITEC um software para análise automática de imagens de equipamentos de inspeção corporal e de bagagem para identificação de objetos ilícitos ou não permitidos através de Inteligência Artificial convolucional. O desenvolvimento deste software já foi concluído e comercializado para vários clientes, inclusive a VMI já exportou vários equipamentos com esta funcionalidade para outros países como EUA, África do Sul, Singapura, Dubai, Nigéria, Iraque e Brunei. Também foi desenvolvido junto com a FITEC um software completo de aquisição de imagens de raios-x com reconstrução de imagens 3D. Este software tem como o objetivo aprimorar a sensibilidade no diagnóstico de doenças pulmonares como Covid, Pneumonia, Tuberculose entre outras. Este software está e fase de teste em dois hospitais em Belo Horizonte.",Eletroeletrônica,,
12minutos,0,0,0,1,0,0,Resumos de livros de não ficção em menos de 12 minutos.,Educação,,3. Tração
M&S Soluções Industriais,0,0,0,1,0,0,"Começamos fornecendo equipamentos para diversas industrias, mas com o tempo investimos em desenvolver também nossas próprias soluções. Hoje criamos soluções para a INDUSTRA 4.0; Sendo o mais relevante na área de Visão Computacional.",Indústria 4.0,"Deep Learning, IOT (Internet das Coisas), Realidade aumentada",Ideação (Fase de concepção da ideia até consolidação do Mínimo Produto Viável - MVP para um nicho de mercado específico)
PódeSim Moda Sustentável,0,0,0,0,1,0,"Desenvolvemos projetos e soluções para o gerenciamento de resíduos têxteis, através de soluções criativas que impulsionam o desenvolvimento tecnológico e oportunidades socioeconômicas, tendo como pilar as práticas de ESG e a Economia Circular, tornando o futuro um lugar melhor para se viver.","Gestão de resíduos, Moda, Sustentabilidade",Nenhuma,Ideação (Fase de concepção da ideia até consolidação do Mínimo Produto Viável - MVP para um nicho de mercado específico)
MGM Logística SA,0,0,0,1,0,0,"Gerenciar e otimizar o fluxo de mercadorias, informações e recursos entre fornecedores, fabricantes, distribuidores e clientes, buscando alcançar um alto nível de eficiência, confiabilidade e satisfação do cliente. Os principais resultados até o momento incluem o aumento da capacidade de armazenamento, redução de custos operacionais, aumento da velocidade de entrega, melhoria na qualidade do serviço prestado e aumento da receita e lucratividade da empresa.",Transporte e Automotivo,,
Fácil Sistemas e Serviços Ltda,0,0,0,1,0,0,"Somos a Fácil Sistemas, uma empresa desenvolvedora de software criada em 2006 com o objetivo de facilitar a gestão das empresas, inicialmente com atuação no centro nordeste mineiro, anos depois vindo a iniciar atuação em todo estado e por fim a partir de 2019 passou a atuar em nível nacional. Atualmente superamos a marca de 1000 empresas ativas em nossa carteira e geramos cerca de 60 empregos diretos.","Gestão de negócios, Tecnologia da informação, Varejo","Big Data, IOT (Internet das Coisas)","Escala (Nesta fase a EBT possui taxas de crescimento elevadas, já possui processos mais estruturados e busca se expandir para novas praças, como públicos, localidades, segmentos, etc)"
Spiral Energia e Valorização de Resíduos,0,0,0,0,1,0,Empresa de soluções energéticas renováveis e híbridas  ,"Energia, Gestão de resíduos","Impressão 3D, 1. Impressão 3D está sendo usada para prototipar um modelo inovador de sistema agitador. ",Ideação (Fase de concepção da ideia até consolidação do Mínimo Produto Viável - MVP para um nicho de mercado específico)
happhome,0,0,1,1,0,0,Contratação de Serviços de Profissionais de Confiança,"Imóveis, Cidades inteligentes, Tecnologia da informação","Big Data, Deep Learning, Machine Learning, Inteligência Artificial, Chatbots","Tração (Início da consolidação e repetição de processos para áreas da startup, como vendas, marketing, recursos humanos, sucesso do cliente etc)"
Compass,0,1,0,0,0,0,"A Compass 3D é uma empresa de inteligência e tecnologia para dentistas que oferece soluções para a Odontologia Digital. Nossa missão é construir uma odontologia melhor por meio de diagnósticos precisos e excelência na prestação de serviços.
Oferecemos soluções odontológicas de alta tecnologia exclusivas para as especialidades de Ortodontia, Implantodontia, Cirurgia de face e Próteses.",Saúde,,
Appia Tech,0,0,1,0,0,0,"Somos uma Construtech com expertise em licenciamento de projetos e estamos desenvolvendo formas de facilitar e agilizar os processos de aprovação e regularização de imóveis nos Órgãos Públicos. Ao trabalharmos com licenciamento, regularização de imóveis e consultorias há mais de 10 anos, obtivemos um profundo conhecimento das demandas, necessidades de melhoria e interfaces dos Órgãos envolvidos no processo de licenciamento. Utilizando a plataforma BIM atrelada à tecnologia de realidade aumentada e a um software, estamos desenvolvendo uma metodologia que sistematize os processos e facilite a organização, mapeamento e visualização de dados no processo de licenciamento para os Órgãos Públicos. Com isso buscamos melhorar a comunicação entre os stakeholders (usuário, profissionais da coonstrução civil e governo), reduzir o processo burocrático, organizar melhor o worflow e fazer com que o processo de aprovação tenha menos gargalos e falhas e possa ser deferido ou não em menos tempo.","Cidades inteligentes, Construção, Imóveis",Realidade aumentada,Ideação (Fase de concepção da ideia até consolidação do Mínimo Produto Viável - MVP para um nicho de mercado específico)
Loja CAOS,0,0,0,0,0,0,"Atuando no mercado da moda desde os anos 80, estamos presentes em mais de 500 dos melhores pontos de vendas do Brasil e exterior, sempre cuidando criteriosamente na elaboração de cada peça, para que seja objeto de desejo e valorização da mulher.",Têxtil e Vestuário,,
Tecnologia de Saúde - Aplicativo Q21,0,1,0,0,0,0,"O q21 é um sistema digital de educação, marketing e monitoramento da saúde bucal, criado para estimular práticas que gerem fidelização e qualidade de vida. Inclui uma base de gestão para o dentista e um aplicativo para o paciente para facilitar o relacionamento",Saúde,Nenhuma,"Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)"
Bússola do Investidor,0,0,0,1,0,0,"Somos uma Fintech com o propósito de ajudar o brasileiro a encontrar as melhores oportunidades do mercado através da tecnologia. Fornecemos conteúdos, produtos e serviços, por meio de uma plataforma descomplicada e segura, e nos esforçamos diariamente para proporcionar a melhor experiência digital para os nossos clientes.",Finanças,,
CognIO,0,0,0,1,1,0,"A CognIO é um SILVER Partner IBM que desenvolve produtos utilizando Inteligência Artificial e Internet das Coisas Baseados na tecnologia IBM Watson.
Nosso primeiro produto é o ICE GUARD: uma solução para Prevenção de Perdas e Controle de Qualidade na cadeia fria (indoor / outdoor). Sensores são instalados nos equipamentos de refrigeração onde não há necessidade de utilizar a internet ou rede elétrica dos clientes (sistema não intrusivo). As informações relativas as temperatura dos produtos são monitoradas e quando ocorre um desvio da temperatura ideal, um assistente digital liga para os responsáveis, além de mensagens e e-mails, informando do problema para que medidas corretivas sejam tomadas. O ICE Guard permite um controle preciso e de forma simples (app Android e IOS) das temperaturas em toda cadeia fria, seja na industria, logística ou pontos de vendas, reduzindo assim as perdas e aumentando a lucratividade das empresas.","Energia, Varejo",IOT (Internet das Coisas),"Tração (Início da consolidação e repetição de processos para áreas da startup, como vendas, marketing, recursos humanos, sucesso do cliente etc)"
NUTRIAQUA,1,0,0,0,0,0,"Nosso objetivo é desenvolver uma tecnologia nacional inovadora para a produção aquícola com alta densidade, monitorada e automatizada, visando alcançar níveis máximos de produtividade. Além disso, buscamos digitalizar o processo para monitorar e corrigir rapidamente qualquer desvio no manejo evitando-se perdas. Essa abordagem também visa garantir a sustentabilidade ambiental, evitando degradação do meio ambiente. Almejamos que com emprego de tecnologia inovadora tornar a aquicultura uma atividade rentável para que os produtores alcancem pleno sucesso nos seus cultivos permitindo que a aquicultura brasileira atinja todo o seu potencial produtivo.",Agronegócio,IOT (Internet das Coisas),Ideação (Fase de concepção da ideia até consolidação do Mínimo Produto Viável - MVP para um nicho de mercado específico)
Maestria Treinamentos (Passa Eu),0,0,0,1,0,0,"Somos uma startup de educação com maior foco desenvolver educacionalmente nossos alunos. Estamos nos 26 estados brasileiros mais Distrito Federal e expandindo para fora do país atualmente. Trabalhamos nos mais diversos treinamentos: Excel para negócios, VBA para gestores, Power BI, Dashboards Corporativos, Photoshop, MS Project, Autocad entre outros.",Educação,,
Simply,0,0,0,1,0,0,"Nosso propósito é promover a transformação digital, possibilitando às empresas a capacidade para ter uma operação totalmente digital, desde o onboarding até os processos internos operacionais, reduzindo as atividades manuais e aumentando a produtividade.","Finanças, Indústria 4.0",Machine Learning,Consolidado no mercado (Startup é um dos principais líderes no mercado em que atua e já construiu barreiras à entrada relevantes)
Agência Palco,0,0,0,1,0,0,"A mais completa rede de conteúdos, serviços e conexões para músicos, fãs e fornecedores!
Criada em parceria com o maior portal de músicos e bandas independentes do Brasil, conectamos todo o ecossistema musical por meio de uma rede voltada para o setor de serviços com geração de valor para toda a cadeia musical, incluindo fornecedores, músicos e fãs.",Entretenimento,,2. Operação
Grupo Algar,1,0,0,1,0,0,"O que você e a sua empresa precisam? Nós estamos prontos para te atender! ✉
Algar, nome formado pelas iniciais de seu fundador – Comendador Alexandrino Garcia – é um Grupo empresarial com atuação nos setores TIC, Entretenimento e Agro em todo o território nacional, na Argentina, Colômbia e no México. Cerca de 19 mil associados - como são chamados os colaboradores – se superam para conquistar a confiança de seus 2 milhões de clientes pelo compromisso de servir com agilidade e desenvolver soluções inovadoras que contribuam no alcance de resultados cada vez melhores. É assim que a Algar é Gente servindo Gente e um Grupo perene, desde 1930. O portfólio é composto pela Algar Telecom, Algar Tech, Algar Farming e Aviva, que engloba Rio Quente Resorts e Costa do Sauípe.
Investe em negócios de caráter disruptivos por meio da Algar Ventures e, ao mesmo tempo, amplia a produtividade, reduz custos e gera ganhos em escala com o Centro de Soluções Corporativas – CSC Algar. Um mundo mais evoluído e justo é feito por gente e educação. Está é uma causa do grupo Algar. Assim, sob a gestão do Instituto Algar, investe na formação de alunos e professores da rede pública municipal. Em sua universidade corporativa – UniAlgar –prepara lideranças e forma sucessores para os desafios do presente e futuro, evolui e fortalece a Cultura para garantir a competitividade e atrair talentos. Este é, também, o jeito Algar de servir.
Reconhecido internacionalmente por seu modelo de governança corporativa com práticas de gestão e do capital para geração de valor, o grupo Algar é membro do Latin American Companies Circle of Corporate Governance e do FBN, Family Business Network.","Tecnologia da Informação e Comunicação (TIC), Agronegócio",,
Toledo e Magalhães Tecnologia da Informação,0,0,0,1,0,0,Desenvolvimento de soluções tecnológicas,Tecnologia da informação,IOT (Internet das Coisas),"Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)"
Bateu Resolveu Consultoria Ltda,0,0,1,0,0,0,"Perícia virtual para provas de sinistros de veículos, eventos variados, para fins judiciais ou soluções outras. Aplicativo inovador, tornando virtual um trabalho de perícia particular iniciado em 1988 de forma presencial.",Mobilidade,"IOT (Internet das Coisas), Machine Learning",Ideação (Fase de concepção da ideia até consolidação do Mínimo Produto Viável - MVP para um nicho de mercado específico)
Horizonti Soluções Digitais,0,0,0,1,0,0,"Desenvolver produtos e soluções digitais personalizadas para nossos clientes, através do uso das ferramentas, tecnologias e metodologias mais recentes. Apesar de uma microempresa, temos em nosso portfólio clientes como Fiat, Localiza, Sebrae, Falconi, entre outros.",Tecnologia da informação,Nenhuma,Já temos algum tempo de mercado e neste momento estamos nos reestruturando para voltar a crescer.
Laborshare,0,0,0,1,0,0,"Plataforma Peer-to-Peer para cruzar oferta X demanda na área de desenvolvimento de software, seguindo a tendência do mercado onde as empresas utilizarão staff sob demanda.",Recursos Humanos,"Blockchain, Inteligência artificial",Ideação (Fase de concepção da ideia até consolidação do Mínimo Produto Viável - MVP para um nicho de mercado específico)
NETCOELHO,1,0,0,1,0,0,"Contribuir para o crescimento do empreendedorismo nacional , geração de emprego e possibilitar aos jovens o ingresso no mercado de trabalho digital.","Agronegócio, Eletroeletrônica, Serviços e Comércio",,
JAC INDUSTRIA E COMERCIO DE ALIMENTOS LTDA,1,0,0,0,0,0,"A JAC Indústria e Comércio de Alimentos Ltda, Inscrita sob o CNPJ nº 07.874.295/0001-74, atua na Indústria de panificação congelada, com abrangência no território nacional, presente em mais de 2.000 pontos de venda, oferecendo soluções de panificação para Redes de Supermercados e padarias.","Alimentos e Bebidas, Serviços e Comércio",,
BVC Serviços e Soluções LTDA,0,0,0,1,0,0,"A BVC é uma empresa de pesquisa e desenvolvimento. Ela desenvolve softwares, aplicativos e sistemas de todos os tipos.",Tecnologia da informação,"Blockchain, Impressão 3D, Realidade aumentada","Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)"
Itambe,1,0,0,0,0,0,"Para a Itambé, leite é tudo. Este pensamento nos acompanha em todas as nossas atividades e, por isso, nos tornamos especialistas em produzir um leite puro e original. Diariamente, processamos mais de 3 milhões de litros de leite, que são transformados em mais de 100 produtos diferentes e da mais alta qualidade. Nossa matéria-prima vem de nossos mais de 7 mil produtores e são processados em nossas 5 fábricas, sendo distribuídos para pontos de venda em todo o país. Temos mais de 3 mil colaboradores que fazem parte desse processo, desde a produção, até a distribuição, para garantir os melhores produtos na mesa de nossos consumidores!
 
 Missão: Sermos os melhores naquilo que nos propusermos a fazer, com foco absoluto em nossas atividades, garantindo os melhores produtos e serviços aos clientes, solidez aos fornecedores, rentabilidade aos acionistas e a oportunidade de um futuro melhor a todos os nossos colaboradores. 
 
 Valores: Atitude de Dono, Disciplina, Simplicidade, Disponibilidade, Franqueza, Humildade e Determinação.",Alimentos e Bebidas,,
Territorius,0,0,1,0,1,0,"Territorius usa as tecnologias emergentes - realidade aumentada, geolocalização, gamificação e storytelling para promover a mudança de postura e hábitos, unindo grandes corporações e comunidades em prol da sustentabilidade e do desenvolvimento dos territórios. Através de um aplicativo de geolocalização estilo Pokemon Go, grandes empresas patrocinam desafios nas comunidades onde atuam, ligados à temáticas de prevenção, segurança, preservação do meio ambiente, economia de água, reciclagem, etc. A população acessa o aplicativo para participar dos games e desafios, em realidade aumentada. A participação é premiada por pontos que depois podem ser trocadas por produtos e prêmios.
A Territorius é uma spin off da Kriativar, que existe desde 2014. O aplicativo foi desenvolvido em 2019, para a Samarco. Diante da infinidade de possibilidades do app de geolocalização, decidimos desmembrar a empresa, fundada em outubro de 2022.","Cidades inteligentes, Jogos, Publicidade, Sustentabilidade","Deep Learning, Realidade aumentada","Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)"
IConnectPet,1,0,0,0,0,0,"Empresa de telemetria animal que oferece informações qualificadas e personalizadas de acordo com o cenário da empresa, apoiamos o monitoramento e gatilhos de prevenção da qualidade de vida e bem estar animal. Nossos foco é em empresas de escola pet a criadores de animais de grande porte e valor agregado, empresas que trabalham com animais oficiais, resgate, segurança patrimonial.","Agronegócio, Gestão de negócios, Governo, Pets","Big Data, IOT (Internet das Coisas)","Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)"
Contador Agora,0,0,0,1,0,0,Somos especializados na criação de processos comerciais e de marketing digital para escritórios de contabilidade!,Gestão de negócios,,
Kexime Fintech LTDA,0,0,0,1,0,0,"A KéxiOn está localizada no município de Varginha, no sul de Minas Gerais, é um startup financeira (Fintech) que tem por objetivo impactar positivamente a vida das pessoas por meio do desenvolvimento de produtos que ampliem a acessibilidade do crédito para populações desbancarizadas. ",Finanças,Machine Learning,"Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)"
